Feature_Name,Domain_Area,Data_Type,Null_Count,Unique_Values
CO_Oven_Temperature_roll_avg_5,Rolling Features,Float,0,48968
CO_Oven_Temperature_roll_grad_5,Rolling Features,Float,0,48957
CO_Oven_Temperature_roll_avg_15,Rolling Features,Float,0,49461
CO_Oven_Temperature_roll_grad_15,Rolling Features,Float,0,49402
CO_Oven_Temperature_roll_avg_30,Rolling Features,Float,0,49742
CO_Oven_Temperature_roll_grad_30,Rolling Features,Float,0,49683
CO_Pusher_Current_roll_avg_5,Rolling Features,Float,0,50000
CO_Pusher_Current_roll_grad_5,Rolling Features,Float,0,50000
CO_Pusher_Current_roll_avg_15,Rolling Features,Float,0,50000
CO_Pusher_Current_roll_grad_15,Rolling Features,Float,0,50000
CO_Pusher_Current_roll_avg_30,Rolling Features,Float,0,50000
CO_Pusher_Current_roll_grad_30,Rolling Features,Float,0,50000
CO_Pusher_Vibration_roll_avg_5,Rolling Features,Float,0,49984
CO_Pusher_Vibration_roll_grad_5,Rolling Features,Float,0,49983
CO_Pusher_Vibration_roll_avg_15,Rolling Features,Float,0,49996
CO_Pusher_Vibration_roll_grad_15,Rolling Features,Float,0,49994
CO_Pusher_Vibration_roll_avg_30,Rolling Features,Float,0,49994
CO_Pusher_Vibration_roll_grad_30,Rolling Features,Float,0,49995
CO_Quenching_Water_Flow_roll_avg_5,Rolling Features,Float,0,49849
CO_Quenching_Water_Flow_roll_grad_5,Rolling Features,Float,0,49848
CO_Quenching_Water_Flow_roll_avg_15,Rolling Features,Float,0,49992
CO_Quenching_Water_Flow_roll_grad_15,Rolling Features,Float,0,49988
CO_Quenching_Water_Flow_roll_avg_30,Rolling Features,Float,0,49973
CO_Quenching_Water_Flow_roll_grad_30,Rolling Features,Float,0,49965
CO_Steam_Temperature_roll_avg_5,Rolling Features,Float,0,50000
CO_Steam_Temperature_roll_grad_5,Rolling Features,Float,0,50000
CO_Steam_Temperature_roll_avg_15,Rolling Features,Float,0,50000
CO_Steam_Temperature_roll_grad_15,Rolling Features,Float,0,50000
CO_Steam_Temperature_roll_avg_30,Rolling Features,Float,0,50000
CO_Steam_Temperature_roll_grad_30,Rolling Features,Float,0,50000
Process_Stability_Index,Engineered Features,Float,0,49895
Gas_Risk_Index,Engineered Features,Float,0,13186
Equipment_Health_Index,General Context,Float,0,7842
Worker_Exposure_Index,Worker,Float,0,12787
Thermal_Risk_Index,Engineered Features,Float,0,6937
Maintenance_Risk_Index,Engineered Features,Float,0,8
Data_Quality_Score,General Context,Float,0,3
Safety_Lead_Indicator,Engineered Features,Integer,0,2
Prediction_Window,Engineered Features,Integer,0,1
